name,url,description,readme_url,last_updated,stars
judis-re,https://github.com/hargup/judis-re,Automatically exported from code.google.com/p/judis-re,https://api.github.com/repos/hargup/judis-re/contents/README.md,2016-08-04T09:18:56Z,0
klug.github.io,https://github.com/hargup/klug.github.io,KLUG's Website.,https://api.github.com/repos/hargup/klug.github.io/contents/README.md,2013-08-16T14:10:31Z,0
laws_of_india,https://github.com/hargup/laws_of_india,,https://api.github.com/repos/hargup/laws_of_india/contents/README.md,2020-05-25T10:29:55Z,1
masters_project,https://github.com/hargup/masters_project,Repository for Master's Project,https://api.github.com/repos/hargup/masters_project/contents/README.md,2016-11-16T18:49:36Z,1
media,https://github.com/hargup/media,,https://api.github.com/repos/hargup/media/contents/README.md,2018-10-10T06:49:37Z,1
metakgp-wiki,https://github.com/hargup/metakgp-wiki,,https://api.github.com/repos/hargup/metakgp-wiki/contents/README.md,2017-06-15T15:27:01Z,0
mfqp,https://github.com/hargup/mfqp,Question paper search,https://api.github.com/repos/hargup/mfqp/contents/README.md,2017-01-09T16:05:55Z,0
misc,https://github.com/hargup/misc,Repo with random things which doesn't deserve a seperate repo,https://api.github.com/repos/hargup/misc/contents/README.md,2023-09-09T15:37:43Z,0
neera_default_search_extension,https://github.com/hargup/neera_default_search_extension,Firefox add-on to add Qwant as the default search engine and open links in same tab without any additional fluff.,https://api.github.com/repos/hargup/neera_default_search_extension/contents/README.md,2021-04-15T18:18:15Z,0
nodejs-hello-world,https://github.com/hargup/nodejs-hello-world,Hello World example,https://api.github.com/repos/hargup/nodejs-hello-world/contents/README.md,2023-06-07T19:06:15Z,1
numba,https://github.com/hargup/numba,NumPy aware dynamic Python compiler using LLVM,https://api.github.com/repos/hargup/numba/contents/README.md,2015-06-17T18:44:15Z,0
numerical-mooc,https://github.com/hargup/numerical-mooc,A collaborative educational initiative in computational science and engineering.,https://api.github.com/repos/hargup/numerical-mooc/contents/README.md,2015-04-08T18:17:34Z,0
paper-spray,https://github.com/hargup/paper-spray,List of interesting papers to read,https://api.github.com/repos/hargup/paper-spray/contents/README.md,2016-08-02T20:57:18Z,0
papers_i_read,https://github.com/hargup/papers_i_read,Summaries of the papers I read,https://api.github.com/repos/hargup/papers_i_read/contents/README.md,2015-10-28T19:43:55Z,0
planet.sympy.org,https://github.com/hargup/planet.sympy.org,Contents of planet.sympy.org,https://api.github.com/repos/hargup/planet.sympy.org/contents/README.md,2014-05-28T16:48:17Z,0
posts,https://github.com/hargup/posts,,https://api.github.com/repos/hargup/posts/contents/README.md,2015-04-21T20:24:15Z,0
pypi-conda-builds,https://github.com/hargup/pypi-conda-builds,,https://api.github.com/repos/hargup/pypi-conda-builds/contents/README.md,2015-06-29T17:47:15Z,0
python-classes,https://github.com/hargup/python-classes,,https://api.github.com/repos/hargup/python-classes/contents/README.md,2023-01-11T16:08:17Z,5
ReactSSRExperiment,https://github.com/hargup/ReactSSRExperiment,Experimenting with Server Side Rendering in React,https://api.github.com/repos/hargup/ReactSSRExperiment/contents/README.md,2023-06-07T19:07:09Z,2
resume,https://github.com/hargup/resume,Resume,https://api.github.com/repos/hargup/resume/contents/README.md,2016-09-02T07:36:32Z,0
sample_clojure,https://github.com/hargup/sample_clojure,A simple CRUD app in Clojure.,https://api.github.com/repos/hargup/sample_clojure/contents/README.md,2021-01-28T15:25:58Z,0
selenium-python-xvfb,https://github.com/hargup/selenium-python-xvfb,Dockerfile for python Selenium container,https://api.github.com/repos/hargup/selenium-python-xvfb/contents/README.md,2019-03-02T15:57:40Z,0
sequenceserver,https://github.com/hargup/sequenceserver,Intuitive local web frontend for sequence BLAST (www search form),https://api.github.com/repos/hargup/sequenceserver/contents/README.md,2015-04-28T13:24:01Z,0
